[2020-12-22 16:20:03,286] INFO [ExpirationReaper-0-Produce]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:03,306] INFO [ExpirationReaper-0-Produce]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:03,306] INFO [ExpirationReaper-0-Produce]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:03,306] INFO [ExpirationReaper-0-DeleteRecords]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:03,499] INFO [ExpirationReaper-0-DeleteRecords]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:03,499] INFO [ExpirationReaper-0-DeleteRecords]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:03,499] INFO [ExpirationReaper-0-ElectLeader]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:03,504] INFO [ExpirationReaper-0-ElectLeader]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:03,504] INFO [ExpirationReaper-0-ElectLeader]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2020-12-22 16:20:03,544] INFO [ReplicaManager broker=0] Shut down completely (kafka.server.ReplicaManager)
[2020-12-22 16:20:03,544] INFO [broker-0-to-controller-send-thread]: Shutting down (kafka.server.BrokerToControllerRequestThread)
[2020-12-22 16:20:03,544] INFO [broker-0-to-controller-send-thread]: Stopped (kafka.server.BrokerToControllerRequestThread)
[2020-12-22 16:20:03,544] INFO [broker-0-to-controller-send-thread]: Shutdown completed (kafka.server.BrokerToControllerRequestThread)
[2020-12-22 16:20:03,544] INFO [broker-0-to-controller-send-thread]: Shutdown completed (kafka.server.BrokerToControllerRequestThread)
[2020-12-22 16:20:03,545] INFO Shutting down. (kafka.log.LogManager)
[2020-12-22 16:20:03,592] INFO [ProducerStateManager partition=__consumer_offsets-49] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2020-12-22 16:20:03,598] INFO [ProducerStateManager partition=quickstart-events-0] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2020-12-22 16:20:03,645] INFO Shutdown complete. (kafka.log.LogManager)
[2020-12-22 16:20:03,648] INFO [feature-zk-node-event-process-thread]: Shutting down (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2020-12-22 16:20:03,648] INFO [feature-zk-node-event-process-thread]: Stopped (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2020-12-22 16:20:03,648] INFO [feature-zk-node-event-process-thread]: Shutdown completed (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2020-12-22 16:20:03,648] INFO [ZooKeeperClient Kafka server] Closing. (kafka.zookeeper.ZooKeeperClient)
[2020-12-22 16:20:04,760] INFO Opening socket connection to server localhost/0:0:0:0:0:0:0:1:2181. Will not attempt to authenticate using SASL (unknown error) (org.apache.zookeeper.ClientCnxn)
[2020-12-22 16:20:04,861] INFO Session: 0x10000cb16aa0000 closed (org.apache.zookeeper.ZooKeeper)
[2020-12-22 16:20:04,861] INFO EventThread shut down for session: 0x10000cb16aa0000 (org.apache.zookeeper.ClientCnxn)
[2020-12-22 16:20:04,862] INFO [ZooKeeperClient Kafka server] Closed. (kafka.zookeeper.ZooKeeperClient)
[2020-12-22 16:20:04,862] INFO [ThrottledChannelReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:05,713] INFO [ThrottledChannelReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:05,713] INFO [ThrottledChannelReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:05,713] INFO [ThrottledChannelReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:06,713] INFO [ThrottledChannelReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:06,713] INFO [ThrottledChannelReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:06,713] INFO [ThrottledChannelReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:07,713] INFO [ThrottledChannelReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:07,713] INFO [ThrottledChannelReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:07,713] INFO [ThrottledChannelReaper-ControllerMutation]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:07,714] INFO [ThrottledChannelReaper-ControllerMutation]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:07,714] INFO [ThrottledChannelReaper-ControllerMutation]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2020-12-22 16:20:07,715] INFO [SocketServer brokerId=0] Shutting down socket server (kafka.network.SocketServer)
[2020-12-22 16:20:07,725] INFO [SocketServer brokerId=0] Shutdown completed (kafka.network.SocketServer)
[2020-12-22 16:20:07,726] INFO Metrics scheduler closed (org.apache.kafka.common.metrics.Metrics)
[2020-12-22 16:20:07,726] INFO Closing reporter org.apache.kafka.common.metrics.JmxReporter (org.apache.kafka.common.metrics.Metrics)
[2020-12-22 16:20:07,726] INFO Metrics reporters closed (org.apache.kafka.common.metrics.Metrics)
[2020-12-22 16:20:07,727] INFO Broker and topic stats closed (kafka.server.BrokerTopicStats)
[2020-12-22 16:20:07,727] INFO App info kafka.server for 0 unregistered (org.apache.kafka.common.utils.AppInfoParser)
[2020-12-22 16:20:07,727] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
